loan_id,age,income,loan_amount,credit_score,default
1001,22,71498.21759909259,8650,655,1
1002,58,51372.802672598125,15829,583,0
1003,52,,13771,617,0
1004,40,49148.25208410963,13291,689,0
1005,40,47443.886282536936,13189,435,0
1006,62,38307.764049118705,14897,705,1
1007,22,56454.5203843633,22390,345,0
1008,54,37226.94216221348,29964,617,0
1009,28,59983.77854470144,14027,593,0
1010,22,,21992,466,1
1011,45,55497.97110855845,9547,561,0
1012,68,45706.26899666462,21403,465,0
1013,56,,9236,393,0
1014,57,,25588,508,0
1015,55,64033.20688197724,47375,388,1
1016,58,22528.908736773144,13133,616,0
1017,44,,4205,380,0
1018,24,20137.820073140032,10390,678,0
1019,61,27574.087546591923,27654,375,1
1020,41,70457.93344720863,19038,474,0
1021,44,63427.77472957529,16105,465,0
1022,37,39207.796500728145,24459,777,0
1023,27,27462.448159386546,18333,617,0
1024,66,5532.067432375232,27440,531,1
1025,58,41847.56738101048,23288,644,0
1026,51,86306.22518371104,32433,300,0
1027,38,56523.26407195471,17109,558,0
1028,60,41606.41570925766,23107,849,0
1029,46,56976.20314250459,11862,586,0
1030,41,26585.624705083355,10089,575,0
1031,41,45540.149559535465,35908,652,0
1032,29,51492.162095236075,15818,708,0
1033,22,48708.490222684275,21866,300,1
1034,46,61862.091825351206,15034,300,1
1035,64,55169.67839354079,10172,598,0
1036,21,60024.89027161995,14130,450,0
1037,62,39674.41576653861,30940,774,0
1038,61,63467.23112615822,19061,514,1
1039,32,74434.05421435987,5479,300,0
1040,50,35447.75720522881,12477,362,0
1041,26,36684.5651642816,37431,300,0
1042,57,70036.7650448035,12487,527,0
1043,54,47129.84019957409,5217,534,0
1044,36,71057.32088099836,39782,497,0
1045,21,43361.96432161724,20441,737,0
1046,68,71825.68364406067,13514,756,0
1047,41,51972.287252081784,11450,537,1
1048,64,53873.43234984043,25471,300,0
1049,53,73470.77032504856,10424,663,0
1050,58,44573.44283833743,26411,653,0
1051,57,35883.168561125625,18924,614,0
1052,28,43271.53687957468,16068,722,0
1053,36,56785.00925964708,15215,378,0
1054,42,26513.613917292285,12756,849,0
1055,43,59562.06353976682,24962,411,1
1056,20,41918.43023573385,8726,684,0
